country,season,band,predictor,cv_corr_dt,p_perm_dt,q_bh_dt
Kenya,SON,National,tsa,0.126,0.067,0.1914
Kenya,SON,National,atl_grad,0.026,0.1432,0.332
Kenya,SON,National,iod_dmi,0.43,0.0004,0.0043
Kenya,SON,National,wvg2,0.458,0.0004,0.0043
Kenya,SON,National,wvg3,0.438,0.0008,0.0058
Kenya,OND,National,nino34,0.508,0.0004,0.0043
Kenya,OND,National,atl3,0.145,0.0552,0.1635
Kenya,OND,National,tna,-0.606,0.7445,0.8805
Kenya,OND,National,tsa,0.087,0.0842,0.2245
Kenya,OND,National,atl_grad,-0.268,0.4481,0.6862
Kenya,OND,National,iod_dmi,0.535,0.0002,0.0036
Kenya,OND,National,wvg2,0.556,0.0004,0.0043
Kenya,OND,National,wvg3,0.538,0.0002,0.0036
Kenya,MAM,South,nino34,-0.389,0.5593,0.7714
Kenya,MAM,South,atl3,-0.279,0.4503,0.6862
Kenya,MAM,South,tna,-0.734,0.8284,0.9168
Kenya,MAM,South,tsa,-0.786,0.9252,0.9602
Kenya,MAM,South,atl_grad,-0.8,0.8934,0.9467
Kenya,MAM,South,iod_dmi,-0.043,0.2084,0.4167
Kenya,MAM,South,wvg2,-0.374,0.5495,0.7648
Kenya,MAM,South,wvg3,-0.329,0.4965,0.7288
Kenya,AMJ,South,nino34,0.248,0.0238,0.0929
Kenya,AMJ,South,atl3,-0.834,0.9684,0.9807
Kenya,AMJ,South,tna,-0.412,0.5671,0.7755
Kenya,AMJ,South,tsa,-0.381,0.5497,0.7648
Kenya,AMJ,South,atl_grad,-0.138,0.3155,0.5314
Kenya,AMJ,South,iod_dmi,-0.68,0.8024,0.9098
Kenya,AMJ,South,wvg2,0.261,0.0192,0.083
Kenya,AMJ,South,wvg3,0.259,0.0188,0.083
Kenya,SON,South,nino34,0.417,0.0026,0.0134
Kenya,SON,South,atl3,0.169,0.051,0.16
Kenya,SON,South,tna,-0.728,0.869,0.9459
Kenya,SON,South,tsa,0.115,0.0828,0.2245
Kenya,SON,South,atl_grad,-0.145,0.3139,0.5314
Kenya,SON,South,iod_dmi,0.393,0.0022,0.0117
Kenya,SON,South,wvg2,0.454,0.0012,0.008
Kenya,SON,South,wvg3,0.445,0.001,0.007
Kenya,OND,South,nino34,0.493,0.0004,0.0043
Kenya,OND,South,atl3,0.2,0.0388,0.1293
Kenya,OND,South,tna,-0.303,0.4859,0.7199
Kenya,OND,South,tsa,0.1,0.0896,0.235
Kenya,OND,South,atl_grad,-0.502,0.6573,0.8281
Kenya,OND,South,iod_dmi,0.498,0.0004,0.0043
Kenya,OND,South,wvg2,0.537,0.0008,0.0058
Kenya,OND,South,wvg3,0.524,0.0006,0.0051
Kenya,MAM,Central,nino34,-0.06,0.227,0.4327
Kenya,MAM,Central,atl3,-0.718,0.8536,0.9355
Kenya,MAM,Central,tna,-0.762,0.8308,0.9168
Kenya,MAM,Central,tsa,-0.864,0.9872,0.9872
Kenya,MAM,Central,atl_grad,-0.822,0.9302,0.9602
Kenya,MAM,Central,iod_dmi,-0.029,0.1972,0.4089
Kenya,MAM,Central,wvg2,-0.007,0.1772,0.3883
Kenya,MAM,Central,wvg3,0.002,0.1716,0.3813
Kenya,AMJ,Central,nino34,0.174,0.0454,0.1453
Kenya,AMJ,Central,atl3,-0.611,0.7485,0.8805
Kenya,AMJ,Central,tna,-0.608,0.7317,0.8805
Kenya,AMJ,Central,tsa,-0.461,0.6217,0.8022
Kenya,AMJ,Central,atl_grad,-0.236,0.4105,0.6503
Kenya,AMJ,Central,iod_dmi,-0.684,0.8074,0.9098
Kenya,AMJ,Central,wvg2,0.218,0.0296,0.1059
