target,predictor_source,method,lead,transform,predictor_domain,eof_modes,downscale,generalized_roc,rpss,pearson_r,hit_rate
Kenya:MAM,obs_index,regression,3,std_anom,wvg,0,none,0.4,-0.103,-0.396,0.236
Kenya:MAM,gcm_index,regression,3,std_anom,wvg,0,none,0.3927,-0.1047,-0.416,0.2346
Kenya:MAM,obs_index,regression,3,std_anom,iwhg,0,none,0.4067,-0.0996,-0.3793,0.2336
Kenya:MAM,gcm_index,regression,3,std_anom,iwhg,0,none,0.3939,-0.1086,-0.4091,0.2299
Kenya:MAM,persistence,regression,3,std_anom,region,0,none,0.3965,-0.1241,-0.4169,0.212
Kenya:MAM,obs_sst_field,cca,3,raw,indo_pacific,4,none,0.4751,-0.0932,-0.075,0.2963
Kenya:MAM,gcm_mos_sst,cca,3,raw,indo_pacific,4,none,0.4934,-0.0824,-0.0062,0.3368
Kenya:MAM,obs_sst_field,cca,3,raw,indo_pacific,8,none,0.4946,-0.0828,-0.0197,0.3082
Kenya:MAM,gcm_mos_sst,cca,3,raw,indo_pacific,8,none,0.4863,-0.0909,-0.0467,0.3108
Kenya:MAM,obs_sst_field,cca,3,raw,indian,4,none,0.5284,-0.0527,0.1191,0.3667
Kenya:MAM,gcm_mos_sst,cca,3,raw,indian,4,none,0.4736,-0.0794,-0.0487,0.3079
Kenya:MAM,obs_sst_field,cca,3,raw,indian,8,none,0.5178,-0.0665,0.0615,0.3529
Kenya:MAM,gcm_mos_sst,cca,3,raw,indian,8,none,0.4759,-0.0838,-0.0257,0.2999
Kenya:MAM,obs_sst_field,cca,3,raw,pacific,4,none,0.4639,-0.1132,-0.0956,0.2875
Kenya:MAM,gcm_mos_sst,cca,3,raw,pacific,4,none,0.4957,-0.0888,-0.015,0.3431
Kenya:MAM,obs_sst_field,cca,3,raw,pacific,8,none,0.4594,-0.1342,-0.0841,0.2809
Kenya:MAM,gcm_mos_sst,cca,3,raw,pacific,8,none,0.4866,-0.0897,-0.0311,0.3216
Kenya:MAM,gcm_mos_precip,cca,3,raw,region,4,none,0.4894,-0.0509,0.0071,0.3267
Kenya:MAM,gcm_mos_precip,cca,3,raw,region,8,none,0.4897,-0.048,0.0071,0.3282
Kenya:MAM,gcm_mos_precip,qm,3,raw,region,0,none,0.5659,-0.0005,0.2268,0.3424
Kenya:MAM,obs_index,regression,3,raw,nino34,0,none,0.4446,-0.0814,-0.1586,0.2759
Kenya:MAM,gcm_index,regression,3,raw,nino34,0,none,0.4042,-0.0942,-0.3679,0.2485
Kenya:MAM,obs_index,regression,3,raw,iod,0,none,0.3957,-0.0994,-0.4375,0.2222
Kenya:MAM,gcm_index,regression,3,raw,iod,0,none,0.4431,-0.0949,-0.209,0.2754
Kenya:MAM,obs_index,regression,3,raw,wpg,0,none,0.4189,-0.098,-0.2835,0.2545
Kenya:MAM,gcm_index,regression,3,raw,wpg,0,none,0.3922,-0.1093,-0.4103,0.2284
Kenya:MAM,obs_index,regression,3,raw,wvg,0,none,0.4,-0.103,-0.3485,0.236
Kenya:MAM,gcm_index,regression,3,raw,wvg,0,none,0.3927,-0.1047,-0.3903,0.2346
Kenya:MAM,obs_index,regression,3,raw,iwhg,0,none,0.4067,-0.0996,-0.3545,0.2336
Kenya:MAM,gcm_index,regression,3,raw,iwhg,0,none,0.3939,-0.1086,-0.396,0.2299
Kenya:MAM,persistence,regression,3,raw,region,0,none,0.3965,-0.1241,-0.4171,0.212
Kenya:MAM,obs_sst_field,cca,4,std_anom,indo_pacific,4,none,0.4411,-0.1324,-0.1838,0.2598
Kenya:MAM,gcm_mos_sst,cca,4,std_anom,indo_pacific,4,none,0.4848,-0.0695,-0.0412,0.3113
Kenya:MAM,obs_sst_field,cca,4,std_anom,indo_pacific,8,none,0.4475,-0.1466,-0.1576,0.2855
Kenya:MAM,gcm_mos_sst,cca,4,std_anom,indo_pacific,8,none,0.4704,-0.1014,-0.0913,0.3002
Kenya:MAM,obs_sst_field,cca,4,std_anom,indian,4,none,0.539,-0.0627,0.1069,0.3568
Kenya:MAM,gcm_mos_sst,cca,4,std_anom,indian,4,none,0.5,-0.0484,0.0229,0.3221
Kenya:MAM,obs_sst_field,cca,4,std_anom,indian,8,none,0.5285,-0.0641,0.0917,0.3676
Kenya:MAM,gcm_mos_sst,cca,4,std_anom,indian,8,none,0.5041,-0.061,0.0173,0.3346
Kenya:MAM,obs_sst_field,cca,4,std_anom,pacific,4,none,0.4599,-0.1295,-0.1383,0.2798
Kenya:MAM,gcm_mos_sst,cca,4,std_anom,pacific,4,none,0.4739,-0.0931,-0.0967,0.2969
Kenya:MAM,obs_sst_field,cca,4,std_anom,pacific,8,none,0.4559,-0.1435,-0.1276,0.2869
Kenya:MAM,gcm_mos_sst,cca,4,std_anom,pacific,8,none,0.4675,-0.1127,-0.1071,0.2948
Kenya:MAM,gcm_mos_precip,cca,4,std_anom,region,4,none,0.484,-0.0599,-0.0742,0.3263
Kenya:MAM,gcm_mos_precip,cca,4,std_anom,region,8,none,0.4845,-0.0574,-0.0742,0.3271
Kenya:MAM,gcm_mos_precip,qm,4,std_anom,region,0,none,0.5169,-0.0668,-0.0008,0.334
Kenya:MAM,obs_index,regression,4,std_anom,nino34,0,none,0.4455,-0.082,-0.1889,0.2803
Kenya:MAM,gcm_index,regression,4,std_anom,nino34,0,none,0.4123,-0.0943,-0.333,0.2566
Kenya:MAM,obs_index,regression,4,std_anom,iod,0,none,0.4012,-0.0897,-0.4063,0.2296
Kenya:MAM,gcm_index,regression,4,std_anom,iod,0,none,0.4115,-0.104,-0.3053,0.2522
Kenya:MAM,obs_index,regression,4,std_anom,wpg,0,none,0.423,-0.0957,-0.3019,0.2556
Kenya:MAM,gcm_index,regression,4,std_anom,wpg,0,none,0.3868,-0.109,-0.4304,0.2268
Kenya:MAM,obs_index,regression,4,std_anom,wvg,0,none,0.4086,-0.1011,-0.3691,0.2409
Kenya:MAM,gcm_index,regression,4,std_anom,wvg,0,none,0.391,-0.106,-0.419,0.2302
Kenya:MAM,obs_index,regression,4,std_anom,iwhg,0,none,0.4092,-0.0938,-0.3653,0.2347
Kenya:MAM,gcm_index,regression,4,std_anom,iwhg,0,none,0.3929,-0.1078,-0.3865,0.2351
Kenya:MAM,persistence,regression,4,std_anom,region,0,none,0.3858,-0.1221,-0.4817,0.2109
Kenya:MAM,obs_sst_field,cca,4,raw,indo_pacific,4,none,0.4424,-0.1229,-0.1592,0.2598
Kenya:MAM,gcm_mos_sst,cca,4,raw,indo_pacific,4,none,0.4878,-0.073,-0.0156,0.3131
Kenya:MAM,obs_sst_field,cca,4,raw,indo_pacific,8,none,0.4523,-0.1471,-0.1561,0.2896
Kenya:MAM,gcm_mos_sst,cca,4,raw,indo_pacific,8,none,0.4719,-0.1007,-0.0953,0.301
Kenya:MAM,obs_sst_field,cca,4,raw,indian,4,none,0.5337,-0.0733,0.0938,0.3617
Kenya:MAM,gcm_mos_sst,cca,4,raw,indian,4,none,0.4996,-0.0505,0.0278,0.3255
Kenya:MAM,obs_sst_field,cca,4,raw,indian,8,none,0.5472,-0.052,0.0941,0.3692
Kenya:MAM,gcm_mos_sst,cca,4,raw,indian,8,none,0.5069,-0.0553,0.0458,0.3326
